Date,Value
28/12/2018,91.9394
27/12/2018,92.2298
26/12/2018,92.029
24/12/2018,92.1151
21/12/2018,92.1151
20/12/2018,91.9457
19/12/2018,91.9023
18/12/2018,92.2204
17/12/2018,92.2268
14/12/2018,92.4416
13/12/2018,92.1438
12/12/2018,92.045
11/12/2018,92.4447
10/12/2018,92.1381
07/12/2018,91.7441
06/12/2018,91.9781
04/12/2018,91.7339
03/12/2018,91.7365
30/11/2018,92.0344
29/11/2018,91.795
28/11/2018,92.3269
27/11/2018,92.3354
26/11/2018,91.914
23/11/2018,91.8146
21/11/2018,91.7197
20/11/2018,91.6112
19/11/2018,91.2574
16/11/2018,91.437
15/11/2018,91.9047
14/11/2018,91.9276
13/11/2018,92.0123
09/11/2018,91.8931
08/11/2018,91.2655
07/11/2018,91.0213
06/11/2018,91.3143
05/11/2018,91.3334
02/11/2018,91.4119
01/11/2018,91.3253
31/10/2018,91.7391
30/10/2018,91.6495
29/10/2018,91.4699
26/10/2018,91.2889
25/10/2018,91.3893
24/10/2018,91.1552
23/10/2018,90.9384
22/10/2018,91.0695
19/10/2018,90.831
18/10/2018,90.7481
17/10/2018,90.4094
16/10/2018,90.0732
15/10/2018,90.1081
12/10/2018,90.3927
11/10/2018,90.4188
10/10/2018,90.4526
09/10/2018,90.6916
05/10/2018,90.6888
04/10/2018,90.6463
03/10/2018,90.4667
02/10/2018,90.2279
01/10/2018,90.1677
28/09/2018,90.1109
27/09/2018,90.1452
26/09/2018,89.5782
25/09/2018,89.4965
24/09/2018,89.4406
21/09/2018,89.5186
20/09/2018,89.4289
19/09/2018,89.6809
18/09/2018,89.7408
17/09/2018,89.8156
14/09/2018,90.0256
13/09/2018,89.8946
12/09/2018,90.0359
11/09/2018,90.451
10/09/2018,90.3999
07/09/2018,90.5598
06/09/2018,90.4163
05/09/2018,90.4994
04/09/2018,90.7166
31/08/2018,90.2569
30/08/2018,89.9322
29/08/2018,89.749
28/08/2018,89.6156
27/08/2018,89.8533
24/08/2018,90.1696
23/08/2018,90.457
22/08/2018,90.125
21/08/2018,90.4279
20/08/2018,90.8981
17/08/2018,91.025
16/08/2018,91.2794
15/08/2018,91.4788
14/08/2018,91.3092
13/08/2018,91.1721
10/08/2018,91.1345
09/08/2018,90.3483
08/08/2018,90.2848
07/08/2018,90.1775
06/08/2018,90.2984
03/08/2018,90.0491
02/08/2018,90.106
01/08/2018,89.8964
31/07/2018,89.7843
30/07/2018,89.6217
27/07/2018,89.9284
26/07/2018,90.0238
25/07/2018,89.9515
24/07/2018,90.0878
23/07/2018,90.0392
20/07/2018,90.0729
19/07/2018,90.9072
18/07/2018,90.5535
17/07/2018,90.4107
16/07/2018,90.0232
13/07/2018,90.2872
12/07/2018,90.162
11/07/2018,89.8616
10/07/2018,89.7541
09/07/2018,89.6613
06/07/2018,89.5756
05/07/2018,89.8189
03/07/2018,90.0426
02/07/2018,90.4184
29/06/2018,89.9734
28/06/2018,90.5467
27/06/2018,90.5605
26/06/2018,90.1171
25/06/2018,90.0305
22/06/2018,90.297
21/06/2018,90.4353
20/06/2018,90.4464
19/06/2018,90.4529
18/06/2018,90.2859
15/06/2018,90.1206
14/06/2018,89.793
13/06/2018,89.0226
12/06/2018,88.9954
11/06/2018,88.9424
08/06/2018,88.9338
07/06/2018,88.8819
06/06/2018,88.8521
05/06/2018,89.3939
04/06/2018,89.1813
01/06/2018,89.2653
31/05/2018,89.2677
30/05/2018,89.0934
29/05/2018,89.8201
25/05/2018,89.3643
24/05/2018,89.0095
23/05/2018,89.2158
22/05/2018,88.7433
21/05/2018,88.9733
18/05/2018,89.0051
17/05/2018,88.7983
16/05/2018,88.7875
15/05/2018,88.6274
14/05/2018,87.9166
11/05/2018,88.0314
10/05/2018,88.3096
09/05/2018,88.5658
08/05/2018,88.7212
07/05/2018,88.2622
04/05/2018,88.2094
03/05/2018,88.1655
02/05/2018,88.2047
01/05/2018,88.1188
30/04/2018,87.6276
27/04/2018,87.542
26/04/2018,87.4816
25/04/2018,87.26
24/04/2018,86.9504
23/04/2018,86.9622
20/04/2018,86.3755
19/04/2018,85.8885
18/04/2018,85.6951
17/04/2018,85.5765
16/04/2018,85.532
13/04/2018,85.8087
12/04/2018,85.7508
11/04/2018,85.4936
10/04/2018,85.7493
09/04/2018,85.976
06/04/2018,86.2667
05/04/2018,86.54
04/04/2018,86.2295
03/04/2018,86.3098
02/04/2018,86.4032
30/03/2018,86.2665
29/03/2018,86.3748
28/03/2018,86.1384
27/03/2018,85.7394
26/03/2018,85.5564
23/03/2018,85.8266
22/03/2018,86.1841
21/03/2018,86.502
20/03/2018,86.7713
19/03/2018,86.5089
16/03/2018,86.7572
15/03/2018,86.5029
14/03/2018,86.1744
13/03/2018,86.0611
12/03/2018,86.1847
09/03/2018,86.187
08/03/2018,86.3974
07/03/2018,86.1817
06/03/2018,85.9253
05/03/2018,86.3656
02/03/2018,86.2256
01/03/2018,86.6211
28/02/2018,86.4919
27/02/2018,86.3273
26/02/2018,85.9499
23/02/2018,85.8219
22/02/2018,85.871
21/02/2018,85.9436
20/02/2018,85.6314
16/02/2018,84.9754
15/02/2018,84.8615
14/02/2018,85.3733
13/02/2018,85.65
12/02/2018,86.1544
09/02/2018,86.2365
08/02/2018,86.2199
07/02/2018,86.0656
06/02/2018,85.6391
05/02/2018,85.4873
02/02/2018,85.1997
01/02/2018,84.6717
31/01/2018,84.855
30/01/2018,85.0494
29/01/2018,85.229
26/01/2018,84.8181
25/01/2018,84.6338
24/01/2018,85.1294
23/01/2018,86.002
22/01/2018,86.2499
19/01/2018,86.1844
18/01/2018,86.1659
17/01/2018,86.2379
16/01/2018,86.1829
12/01/2018,86.8613
11/01/2018,87.2656
10/01/2018,87.4798
09/01/2018,87.6932
08/01/2018,87.4709
05/01/2018,87.2176
04/01/2018,87.3561
03/01/2018,87.4423
02/01/2018,87.2663
29/12/2017,87.4741
28/12/2017,87.9068
27/12/2017,88.2974
26/12/2017,88.5227
22/12/2017,88.743
21/12/2017,88.6088
20/12/2017,88.7856
19/12/2017,89.0689
18/12/2017,88.9388
15/12/2017,89.1218
14/12/2017,89.0225
13/12/2017,89.2519
12/12/2017,89.4931
11/12/2017,89.13
08/12/2017,89.3369
07/12/2017,89.036
06/12/2017,88.9141
05/12/2017,88.6075
04/12/2017,88.538
01/12/2017,88.1787
30/11/2017,88.6542
29/11/2017,88.6792
28/11/2017,88.5525
27/11/2017,88.2549
24/11/2017,88.1531
22/11/2017,88.7161
21/11/2017,89.1177
20/11/2017,89.1893
17/11/2017,88.9155
16/11/2017,89.0313
15/11/2017,89.1045
14/11/2017,89.1425
13/11/2017,89.5331
09/11/2017,89.4057
08/11/2017,89.7042
07/11/2017,89.8949
06/11/2017,89.7156
03/11/2017,89.8262
02/11/2017,89.6387
01/11/2017,89.9123
31/10/2017,89.7401
30/10/2017,89.696
27/10/2017,90.0419
26/10/2017,89.4866
25/10/2017,89.0475
24/10/2017,88.9578
23/10/2017,88.8414
20/10/2017,88.7482
19/10/2017,88.0974
18/10/2017,88.3596
17/10/2017,88.5293
16/10/2017,88.1144
13/10/2017,87.975
12/10/2017,88.0685
11/10/2017,88.0957
10/10/2017,88.1728
06/10/2017,88.6593
05/10/2017,88.7147
04/10/2017,88.3142
03/10/2017,88.3622
02/10/2017,88.3967
29/09/2017,88.1008
28/09/2017,88.1359
27/09/2017,88.1217
26/09/2017,87.8973
25/09/2017,87.4735
22/09/2017,87.0324
21/09/2017,87.1658
20/09/2017,86.7341
19/09/2017,86.823
18/09/2017,86.916
15/09/2017,86.6068
14/09/2017,86.9873
13/09/2017,87.0028
12/09/2017,86.5772
11/09/2017,86.4788
08/09/2017,86.0101
07/09/2017,86.2076
06/09/2017,86.7
05/09/2017,87.1537
01/09/2017,87.4804
31/08/2017,87.7545
30/08/2017,87.8242
29/08/2017,87.1448
28/08/2017,87.3242
25/08/2017,87.6737
24/08/2017,88.0586
23/08/2017,88.114
22/08/2017,88.2393
21/08/2017,88.0065
18/08/2017,88.2971
17/08/2017,88.5046
16/08/2017,88.9058
15/08/2017,88.8301
14/08/2017,88.4014
11/08/2017,88.2082
10/08/2017,88.4728
09/08/2017,88.5767
08/08/2017,88.6933
07/08/2017,88.5006
04/08/2017,88.4988
03/08/2017,87.8085
02/08/2017,87.801
01/08/2017,87.9734
31/07/2017,87.7956
28/07/2017,88.0258
27/07/2017,88.6385
26/07/2017,88.7099
25/07/2017,88.5346
24/07/2017,88.5352
21/07/2017,88.6051
20/07/2017,88.7977
19/07/2017,89.1698
18/07/2017,89.1491
17/07/2017,89.6741
14/07/2017,89.688
13/07/2017,90.2874
12/07/2017,90.2647
11/07/2017,90.676
10/07/2017,90.6762
07/07/2017,90.6492
06/07/2017,90.5818
05/07/2017,90.9656
03/07/2017,90.8407
30/06/2017,90.4944
29/06/2017,90.5163
28/06/2017,90.8114
27/06/2017,91.4237
26/06/2017,91.8277
23/06/2017,91.8673
22/06/2017,92.0618
21/06/2017,92.2739
20/06/2017,92.2444
19/06/2017,91.889
16/06/2017,91.7442
15/06/2017,91.9876
14/06/2017,91.136
13/06/2017,91.6638
12/06/2017,92.053
09/06/2017,92.1431
08/06/2017,91.967
07/06/2017,91.8562
06/06/2017,91.6332
05/06/2017,91.9058
02/06/2017,91.8898
01/06/2017,92.1922
31/05/2017,92.0418
30/05/2017,92.1991
26/05/2017,92.3492
25/05/2017,92.1251
24/05/2017,92.3422
23/05/2017,92.2403
22/05/2017,92.0623
19/05/2017,92.3337
18/05/2017,92.5967
17/05/2017,92.7036
16/05/2017,93.1841
15/05/2017,93.6873
12/05/2017,94.0251
11/05/2017,94.2705
10/05/2017,94.1926
09/05/2017,94.3259
08/05/2017,93.9024
05/05/2017,93.5496
04/05/2017,93.7814
03/05/2017,93.8125
02/05/2017,93.8566
01/05/2017,93.6654
28/04/2017,93.7181
27/04/2017,93.8124
26/04/2017,93.7173
25/04/2017,93.402
24/04/2017,93.4586
21/04/2017,93.9117
20/04/2017,93.6269
19/04/2017,93.7998
18/04/2017,93.5421
17/04/2017,93.6275
14/04/2017,93.9068
13/04/2017,93.8762
12/04/2017,94.1018
11/04/2017,94.1967
10/04/2017,94.4544
07/04/2017,94.4898
06/04/2017,94.3417
05/04/2017,94.3187
04/04/2017,94.2803
03/04/2017,94.2513
31/03/2017,93.9602
30/03/2017,93.7755
29/03/2017,93.8584
28/03/2017,93.3219
27/03/2017,93.1641
24/03/2017,93.6096
23/03/2017,93.5848
22/03/2017,93.5687
21/03/2017,93.5905
20/03/2017,94.028
17/03/2017,94.111
16/03/2017,94.068
15/03/2017,95.1207
14/03/2017,95.1233
13/03/2017,94.965
10/03/2017,95.1503
09/03/2017,95.4857
08/03/2017,95.5706
07/03/2017,95.1694
06/03/2017,95.1199
03/03/2017,95.3553
02/03/2017,95.3927
01/03/2017,94.9469
28/02/2017,94.2571
27/02/2017,93.9239
24/02/2017,94.1098
23/02/2017,94.1067
22/02/2017,94.561
21/02/2017,94.4839
17/02/2017,94.1042
16/02/2017,93.8243
15/02/2017,94.2478
14/02/2017,94.3873
13/02/2017,94.1476
10/02/2017,93.8859
09/02/2017,93.9951
08/02/2017,93.5912
07/02/2017,93.7855
06/02/2017,93.5664
03/02/2017,93.0757
02/02/2017,93.0435
01/02/2017,93.4308
31/01/2017,93.1296
30/01/2017,93.917
27/01/2017,94.0567
26/01/2017,94.0485
25/01/2017,93.5492
24/01/2017,93.7379
23/01/2017,93.9656
19/01/2017,94.9218
18/01/2017,94.1644
17/01/2017,93.791
13/01/2017,94.616
12/01/2017,94.286
11/01/2017,95.5418
10/01/2017,95.1519
09/01/2017,95.1949
06/01/2017,95.2662
05/01/2017,94.8563
04/01/2017,95.8582
03/01/2017,96.4677
30/12/2016,95.7228
29/12/2016,96.1354
28/12/2016,96.8665
27/12/2016,96.5532
23/12/2016,96.5085
22/12/2016,96.3475
21/12/2016,96.3222
20/12/2016,96.4316
19/12/2016,96.0422
16/12/2016,95.9966
15/12/2016,96.5689
14/12/2016,94.1979
13/12/2016,94.3169
12/12/2016,94.4962
09/12/2016,94.8394
08/12/2016,94.5114
07/12/2016,93.9442
06/12/2016,94.1672
05/12/2016,94.1473
02/12/2016,94.3916
01/12/2016,94.7229
30/11/2016,95.2186
29/11/2016,94.7906
28/11/2016,94.924
25/11/2016,95.15
23/11/2016,95.1429
22/11/2016,94.6755
21/11/2016,94.7331
18/11/2016,94.8995
17/11/2016,94.2742
16/11/2016,94.0024
15/11/2016,93.9808
14/11/2016,94.077
10/11/2016,92.9838
09/11/2016,92.3532
08/11/2016,91.9786
07/11/2016,91.9947
04/11/2016,91.4468
03/11/2016,91.58
02/11/2016,91.5726
01/11/2016,92.1047
31/10/2016,92.5634
28/10/2016,92.7324
27/10/2016,92.7911
26/10/2016,92.5207
25/10/2016,92.5881
24/10/2016,92.669
21/10/2016,92.6081
20/10/2016,92.0592
19/10/2016,91.642
18/10/2016,91.5885
17/10/2016,91.7494
14/10/2016,91.9004
13/10/2016,91.7452
12/10/2016,92.0748
11/10/2016,91.6609
07/10/2016,91.299
06/10/2016,91.0422
05/10/2016,90.706
04/10/2016,90.5212
03/10/2016,90.232
30/09/2016,89.9324
29/09/2016,89.9109
28/09/2016,90.2273
27/09/2016,90.188
26/09/2016,89.8734
23/09/2016,90.0937
22/09/2016,89.7054
21/09/2016,90.2977
20/09/2016,90.5188
19/09/2016,90.3828
16/09/2016,90.5795
15/09/2016,90.0282
14/09/2016,90.0495
13/09/2016,90.1175
12/09/2016,89.8663
09/09/2016,89.9972
08/09/2016,89.461
07/09/2016,89.3795
06/09/2016,89.3205
02/09/2016,90.2863
01/09/2016,90.2592
31/08/2016,90.5736
30/08/2016,90.4284
29/08/2016,90.0603
26/08/2016,89.5294
25/08/2016,89.2849
24/08/2016,89.3029
23/08/2016,89.0277
22/08/2016,89.1167
19/08/2016,88.9845
18/08/2016,88.6645
17/08/2016,89.2555
16/08/2016,89.1298
15/08/2016,89.7295
12/08/2016,89.8341
11/08/2016,89.9869
10/08/2016,90.056
09/08/2016,90.5007
08/08/2016,90.7712
05/08/2016,90.6646
04/08/2016,90.0254
03/08/2016,89.9403
02/08/2016,89.6752
01/08/2016,90.144
29/07/2016,90.0325
28/07/2016,91.0166
27/07/2016,91.6858
26/07/2016,91.5145
25/07/2016,91.7101
22/07/2016,91.7229
21/07/2016,91.1923
20/07/2016,91.2993
19/07/2016,91.2104
18/07/2016,90.7627
15/07/2016,90.8164
14/07/2016,90.387
13/07/2016,90.3969
12/07/2016,90.6943
11/07/2016,90.8928
08/07/2016,90.5723
07/07/2016,90.3247
06/07/2016,90.3601
05/07/2016,90.2657
01/07/2016,89.892
30/06/2016,90.584
29/06/2016,90.0971
28/06/2016,90.6604
27/06/2016,90.6334
24/06/2016,89.8117
23/06/2016,88.3633
22/06/2016,88.7177
21/06/2016,88.8066
20/06/2016,88.5785
17/06/2016,89.1302
16/06/2016,89.9058
15/06/2016,89.5294
14/06/2016,89.5384
13/06/2016,89.1662
10/06/2016,89.1121
09/06/2016,88.7943
08/06/2016,88.4402
07/06/2016,88.8895
06/06/2016,89.1211
03/06/2016,89.3204
02/06/2016,90.5316
01/06/2016,90.6212
31/05/2016,90.8375
27/05/2016,90.47
26/05/2016,90.2362
25/05/2016,90.611
24/05/2016,90.7168
